report_id,date,location,department,shift,report_type,severity,hazard,description
SR-1040,2026-08-10,Warehouse B,Logistics,Evening,Near Miss,3,Blocked emergency pathway,Emergency pathway near the loading dock was obstructed by returned stock awaiting pickup.
SR-1074,2026-08-11,Loading Zone,Logistics,Night,Observation,2,Poor lighting,"Loading zone lighting was noticeably dim during night shift, making it hard to see approaching vehicles."
SR-1005,2026-08-11,Assembly Line 3,Manufacturing,Night,Near Miss,3,Wet/slippery floor,"Floor near bay 2 was wet and slippery, likely from the recurring equipment leak. No wet-floor sign present."
SR-1058,2026-08-12,Loading Zone,Logistics,Evening,Observation,1,Pedestrian crossing violation,Pedestrian crossed through an active vehicle lane instead of using the marked crossing near dock 4.
SR-1052,2026-08-12,Warehouse B,Logistics,Night,Near Miss,2,Blocked emergency pathway,Emergency pathway near the loading dock was obstructed by returned stock awaiting pickup.
SR-1013,2026-08-13,Assembly Line 3,Manufacturing,Night,Observation,1,Missing hazard signage,Wet floor / hazard signage was missing near the leak-prone section of the line during night shift.
SR-1027,2026-08-13,Assembly Line 3,Manufacturing,Night,Incident,5,Machine malfunction,Conveyor belt motor made unusual grinding noise and stalled briefly before restarting on its own.
SR-1085,2026-08-13,Packaging Unit,Manufacturing,Morning,Observation,1,PPE non-compliance,Two workers observed without safety goggles while handling packaging materials near bay 7.
SR-1102,2026-08-14,Main Corridor,Facilities,Evening,Near Miss,3,Blocked fire exit,Fire exit near the main corridor was found propped with storage boxes during the evening check.
SR-1003,2026-08-14,Assembly Line 3,Manufacturing,Evening,Near Miss,2,Equipment leakage,Coolant leak detected under the stamping press during evening rounds. Area was cordoned but not fully cleaned.
SR-1055,2026-08-14,Warehouse B,Logistics,Morning,Observation,1,Improper storage/stacking,"Boxes stacked above the marked height limit on rack 9, creating a potential fall/collapse risk."
SR-1090,2026-08-16,Electrical Substation,Facilities,Night,Observation,2,Exposed wiring,"Exposed wiring noticed near the substation junction box, insulation appeared worn."
SR-1021,2026-08-17,Assembly Line 3,Manufacturing,Night,Observation,2,Missing hazard signage,"No caution signage posted around the ongoing maintenance work, despite repeated requests from the night crew."
SR-1017,2026-08-19,Assembly Line 3,Manufacturing,Morning,Incident,3,Machine malfunction,Conveyor belt motor made unusual grinding noise and stalled briefly before restarting on its own.
SR-1095,2026-08-19,Electrical Substation,Facilities,Night,Near Miss,2,Electrical hazard,Panel door on substation unit 1 was left open with live components partially accessible.
SR-1023,2026-08-19,Assembly Line 3,Manufacturing,Night,Near Miss,2,Wet/slippery floor,"Floor near bay 6 was wet and slippery, likely from the recurring equipment leak. No wet-floor sign present."
SR-1002,2026-08-20,Assembly Line 3,Manufacturing,Night,Near Miss,2,Equipment leakage,Hydraulic fluid observed leaking from conveyor motor housing near station 4. Small puddle forming on the floor.
SR-1093,2026-08-20,Electrical Substation,Facilities,Night,Observation,2,Exposed wiring,"Exposed wiring noticed near the substation junction box, insulation appeared worn."
SR-1054,2026-08-21,Warehouse B,Logistics,Evening,Near Miss,2,Blocked emergency pathway,Pallets stacked partially blocking the marked emergency exit route near dock 6.
SR-1006,2026-08-22,Assembly Line 3,Manufacturing,Evening,Observation,2,Missing hazard signage,Wet floor / hazard signage was missing near the leak-prone section of the line during evening shift.
SR-1019,2026-08-22,Assembly Line 3,Manufacturing,Night,Incident,4,Machine malfunction,Press machine safety interlock did not engage properly on first attempt; operator had to reset it manually.
SR-1103,2026-08-22,Main Corridor,Facilities,Evening,Near Miss,3,Blocked fire exit,Fire exit near the main corridor was found propped with storage boxes during the evening check.
SR-1031,2026-08-22,Assembly Line 3,Manufacturing,Night,Near Miss,3,Wet/slippery floor,Employee nearly slipped on a wet patch close to the conveyor. Surface had not been mopped or marked.
SR-1061,2026-08-23,Loading Zone,Logistics,Evening,Observation,1,Pedestrian crossing violation,Pedestrian crossed through an active vehicle lane instead of using the marked crossing near dock 3.
SR-1073,2026-08-23,Loading Zone,Logistics,Evening,Near Miss,3,Forklift-pedestrian proximity,Forklift came within close proximity of a pedestrian walkway with no spotter present near dock 7.
SR-1034,2026-08-24,Warehouse B,Logistics,Morning,Observation,1,PPE non-compliance,Forklift operator noted operating without a high-visibility vest during morning shift.
SR-1007,2026-08-25,Assembly Line 3,Manufacturing,Night,Incident,5,Machine malfunction,Press machine safety interlock did not engage properly on first attempt; operator had to reset it manually.
SR-1001,2026-08-25,Assembly Line 3,Manufacturing,Evening,Near Miss,3,Equipment leakage,Coolant leak detected under the stamping press during evening rounds. Area was cordoned but not fully cleaned.
SR-1022,2026-08-26,Assembly Line 3,Manufacturing,Night,Observation,1,Missing hazard signage,"No caution signage posted around the ongoing maintenance work, despite repeated requests from the night crew."
SR-1009,2026-08-28,Assembly Line 3,Manufacturing,Night,Near Miss,3,Wet/slippery floor,Employee nearly slipped on a wet patch close to the conveyor. Surface had not been mopped or marked.
SR-1037,2026-08-28,Warehouse B,Logistics,Evening,Observation,1,PPE non-compliance,Two workers observed without safety goggles while handling packaging materials near bay 9.
SR-1082,2026-08-29,Packaging Unit,Manufacturing,Evening,Observation,2,PPE non-compliance,Forklift operator noted operating without a high-visibility vest during evening shift.
SR-1101,2026-08-30,Main Corridor,Facilities,Evening,Near Miss,2,Blocked fire exit,Fire exit near the main corridor was found propped with storage boxes during the evening check.
SR-1010,2026-08-30,Assembly Line 3,Manufacturing,Night,Observation,2,Missing hazard signage,"No caution signage posted around the ongoing maintenance work, despite repeated requests from the night crew."
SR-1036,2026-09-01,Warehouse B,Logistics,Morning,Near Miss,3,Blocked emergency pathway,Emergency pathway near the loading dock was obstructed by returned stock awaiting pickup.
SR-1011,2026-09-02,Assembly Line 3,Manufacturing,Evening,Near Miss,3,Equipment leakage,Hydraulic fluid observed leaking from conveyor motor housing near station 9. Small puddle forming on the floor.
SR-1084,2026-09-03,Packaging Unit,Manufacturing,Morning,Observation,2,Repetitive strain concern,Packaging staff reported wrist discomfort after extended repetitive sealing tasks without rotation.
SR-1020,2026-09-03,Assembly Line 3,Manufacturing,Evening,Near Miss,3,Equipment leakage,Hydraulic fluid observed leaking from conveyor motor housing near station 9. Small puddle forming on the floor.
SR-1067,2026-09-04,Loading Zone,Logistics,Evening,Observation,2,Pedestrian crossing violation,Pedestrian crossed through an active vehicle lane instead of using the marked crossing near dock 7.
SR-1087,2026-09-04,Packaging Unit,Manufacturing,Morning,Observation,1,Repetitive strain concern,Packaging staff reported wrist discomfort after extended repetitive sealing tasks without rotation.
SR-1018,2026-09-05,Assembly Line 3,Manufacturing,Night,Near Miss,2,Equipment leakage,Coolant leak detected under the stamping press during night rounds. Area was cordoned but not fully cleaned.
SR-1098,2026-09-07,Main Corridor,Facilities,Morning,Observation,2,Slip/fall hazard,Loose floor tile near the main corridor created a trip hazard close to the stairwell.
SR-1059,2026-09-07,Loading Zone,Logistics,Night,Observation,2,Poor lighting,"Loading zone lighting was noticeably dim during night shift, making it hard to see approaching vehicles."
SR-1050,2026-09-08,Warehouse B,Logistics,Morning,Observation,1,Improper storage/stacking,"Boxes stacked above the marked height limit on rack 2, creating a potential fall/collapse risk."
SR-1033,2026-09-08,Assembly Line 3,Manufacturing,Morning,Incident,4,Machine malfunction,Press machine safety interlock did not engage properly on first attempt; operator had to reset it manually.
SR-1069,2026-09-09,Loading Zone,Logistics,Night,Observation,2,Poor lighting,"Loading zone lighting was noticeably dim during night shift, making it hard to see approaching vehicles."
SR-1016,2026-09-10,Assembly Line 3,Manufacturing,Morning,Near Miss,3,Wet/slippery floor,Employee nearly slipped on a wet patch close to the conveyor. Surface had not been mopped or marked.
SR-1064,2026-09-11,Loading Zone,Logistics,Evening,Near Miss,3,Forklift-pedestrian proximity,Near miss between reversing forklift and warehouse staff crossing an unmarked pedestrian lane.
SR-1041,2026-09-11,Warehouse B,Logistics,Morning,Near Miss,2,Blocked emergency pathway,Emergency pathway near the loading dock was obstructed by returned stock awaiting pickup.
SR-1039,2026-09-13,Warehouse B,Logistics,Morning,Near Miss,2,Blocked emergency pathway,Emergency pathway near the loading dock was obstructed by returned stock awaiting pickup.
SR-1077,2026-09-13,Loading Zone,Logistics,Morning,Near Miss,2,Forklift-pedestrian proximity,Forklift came within close proximity of a pedestrian walkway with no spotter present near dock 4.
SR-1008,2026-09-14,Assembly Line 3,Manufacturing,Night,Near Miss,3,Equipment leakage,Hydraulic fluid observed leaking from conveyor motor housing near station 5. Small puddle forming on the floor.
SR-1025,2026-09-14,Assembly Line 3,Manufacturing,Night,Near Miss,3,Equipment leakage,Recurring oil leak from the packaging line gearbox. Maintenance ticket raised but leak returned within days.
